Year,Value,
1968,25760683041,
1969,28434203615,
1970,31385499664,
1971,36426909888,
1972,43316056615,
1973,55018394946,
1974,1.05146E+11,
1975,1.16337E+11,
1976,1.44846E+11,
1977,1.67308E+11,
1978,1.83556E+11,
1979,2.48646E+11,
1980,3.38177E+11,
1981,3.48593E+11,
1982,3.24329E+11,
1983,3.03963E+11,
1984,3.07941E+11,
1985,3.03894E+11,
1986,2.89029E+11,
1987,3.12682E+11,
1988,3.07503E+11,
1989,3.22325E+11,
1990,4.46877E+11,
1991,4.39779E+11,
1992,4.71164E+11,
1993,4.76514E+11,
1994,4.87527E+11,
1995,5.2376E+11,
1996,5.78231E+11,
1997,6.13279E+11,
1998,5.91526E+11,
1999,6.4389E+11,
2000,7.35025E+11,
2001,7.23283E+11,
2002,7.29052E+11,
2003,8.23111E+11,
2004,9.63862E+11,
2005,1.18466E+12,
2006,1.40411E+12,
2007,1.63757E+12,
2008,2.07812E+12,
2009,1.79582E+12,
2010,2.10965E+12,
2011,2.50155E+12,
2012,2.74124E+12,
2013,2.83963E+12,
2014,2.90662E+12,
2015,2.5633E+12,
2016,2.5047E+12,
1960,2004785088,
1961,2169733054,
1962,2289494618,
1963,2431591781,
1964,2626895912,
1965,2828615453,
1966,3067843649,
1967,3293145007,
1968,3274645643,
1969,3563687635,
1970,3920853184,
1971,4262673220,
1972,4934739944,
1973,5390816069,
1974,7007906856,
1975,8200001223,
1976,8414807199,
1977,9783471923,
1978,9980604019,
1979,11435129605,
1980,14028282041,
1981,15480050143,
1982,17287146829,
1983,17450456930,
1984,16436254245,
1985,16161316057,
1986,14445145769,
1987,15475346111,
1988,16399795082,
1989,16631954338,
1990,17884432805,
1991,17668489746,
1992,17396950391,
1993,18254627214,
1994,19289605583,
1995,21134854978,
1996,23041792540,
1997,25732097913,
1998,28249856028,
1999,30022320518,
2000,32256663838,
2001,33176931054,
2002,34949444323,
2003,37500825974,
2004,41178984265,
2005,46656114032,
2006,52416498943,
2007,58371461971,
2008,66596542818,
2009,55887477076,
2010,60945499584,
2011,66197591877,
2012,70647852493,
2013,71284814648,
2014,71392784817,
2015,69516216247,
2016,66707362091,
1990,2.56391E+11,
1991,2.42845E+11,
1992,2.6007E+11,
1993,2.74193E+11,
1994,3.11016E+11,
1995,3.86484E+11,
1996,4.12962E+11,
1997,4.09178E+11,
1998,4.47675E+11,
1999,4.34159E+11,
2000,4.27826E+11,
2001,4.68434E+11,
2002,5.27516E+11,
2003,6.34885E+11,
2004,7.6301E+11,
2005,8.86485E+11,
2006,1.00269E+12,
2007,1.26202E+12,
2008,1.52416E+12,
2009,1.28158E+12,
2010,1.31382E+12,
2011,1.44682E+12,
2012,1.35135E+12,
2013,1.42242E+12,
2014,1.46336E+12,
2015,1.28557E+12,
2016,1.31216E+12,
1960,1.52378E+11,
1961,1.53311E+11,
1962,1.58917E+11,
1963,1.68091E+11,
1964,1.92551E+11,
1965,2.09918E+11,
1966,2.07192E+11,
1967,2.17435E+11,
1968,2.35619E+11,
1969,2.63379E+11,
1970,2.79194E+11,
1971,3.01586E+11,
1972,3.31594E+11,
1973,4.24414E+11,
1974,5.95405E+11,
1975,6.39433E+11,
1976,6.9826E+11,
1977,7.81303E+11,
1978,8.64922E+11,
1979,1.05144E+12,
1980,1.2954E+12,
1981,1.44752E+12,
1982,1.37949E+12,
1983,1.39238E+12,
1984,1.37223E+12,
1985,1.40501E+12,
1986,1.42584E+12,
1987,1.43681E+12,
1988,1.54591E+12,
1989,1.57999E+12,
1990,1.8199E+12,
1991,1.92892E+12,
1992,2.11636E+12,
1993,2.32286E+12,
1994,2.43216E+12,
1995,2.48255E+12,
1996,2.70949E+12,
1997,2.89319E+12,
1998,2.8463E+12,
1999,3.01987E+12,
2000,3.27588E+12,
2001,3.23501E+12,
2002,3.14422E+12,
2003,3.51615E+12,
2004,4.09011E+12,
2005,4.76762E+12,
2006,5.4623E+12,
2007,6.48882E+12,
2008,7.3175E+12,
2009,7.04591E+12,
2010,8.51432E+12,
2011,9.56493E+12,
2012,9.97441E+12,
2013,1.01607E+13,
2014,1.05299E+13,
2015,1.0195E+13,
2016,1.0402E+13,
1960,1.53612E+11,
1961,1.54058E+11,
1962,1.57634E+11,
1963,1.75902E+11,
1964,2.021E+11,
1965,2.25097E+11,
1966,2.51654E+11,
1967,2.72677E+11,
1968,3.00495E+11,
1969,3.46159E+11,
1970,4.07482E+11,
1971,4.52155E+11,
1972,5.61125E+11,
1973,7.39677E+11,
1974,8.52155E+11,
1975,9.33155E+11,
1976,1.02604E+12,
1977,1.22307E+12,
1978,1.54275E+12,
1979,1.67513E+12,
1980,1.81162E+12,
1981,2.00033E+12,
1982,1.95933E+12,
1983,2.07833E+12,
1984,2.2295E+12,
1985,2.3637E+12,
1986,3.08129E+12,
1987,3.60328E+12,
1988,4.33631E+12,
1989,4.53537E+12,
1990,4.747E+12,
1991,5.34505E+12,
1992,5.83576E+12,
1993,6.55248E+12,
1994,7.31362E+12,
1995,8.31031E+12,
1996,8.00859E+12,
1997,7.66299E+12,
1998,6.86396E+12,
1999,7.66532E+12,
2000,8.29188E+12,
2001,7.71293E+12,
2002,7.83707E+12,
2003,8.61738E+12,
2004,9.66371E+12,
2005,1.03113E+13,
2006,1.09397E+13,
2007,1.2237E+13,
2008,1.41341E+13,
2009,1.45645E+13,
2010,1.69388E+13,
2011,1.96387E+13,
2012,2.10191E+13,
2013,2.12625E+13,
2014,2.19E+13,
2015,2.17669E+13,
2016,2.24804E+13,
1960,80518696001,
1961,70681455169,
1962,64769510577,
1963,70136390296,
1964,81316003236,
1965,94897351256,
1966,1.03887E+11,
1967,1.00663E+11,
1968,1.01694E+11,
1969,1.14218E+11,
1970,1.27313E+11,
1971,1.36879E+11,
1972,1.55311E+11,
1973,1.95709E+11,
1974,2.21301E+11,
1975,2.48888E+11,
1976,2.53054E+11,
1977,2.9261E+11,
1978,2.83761E+11,
1979,3.28128E+11,
1980,3.79505E+11,
1981,4.05526E+11,
1982,4.25626E+11,
1983,4.45707E+11,
1984,4.83631E+11,
1985,5.29496E+11,
1986,5.27665E+11,
1987,5.20956E+11,
1988,5.77813E+11,
1989,6.24706E+11,
1990,6.69863E+11,
1991,7.27077E+11,
1992,8.14593E+11,
1993,8.95435E+11,
1994,1.07628E+12,
1995,1.32735E+12,
1996,1.52428E+12,
1997,1.57756E+12,
1998,1.43922E+12,
1999,1.58543E+12,
2000,1.74577E+12,
2001,1.85646E+12,
2002,2.05587E+12,
2003,2.32784E+12,
2004,2.69813E+12,
2005,3.12426E+12,
2006,3.76369E+12,
2007,4.75841E+12,
2008,6.02092E+12,
2009,6.53155E+12,
2010,7.87933E+12,
2011,9.6307E+12,
2012,1.07442E+13,
2013,1.18608E+13,
2014,1.27541E+13,
2015,1.32682E+13,
2016,1.35124E+13,
1960,80355307367,
1961,70538028276,
1962,64638080209,
1963,69994069449,
1964,81150996705,
1965,94704785437,
1966,1.03676E+11,
1967,1.00458E+11,
1968,1.01487E+11,
1969,1.13986E+11,
1970,1.27055E+11,
1971,1.36601E+11,
1972,1.54996E+11,
1973,1.95312E+11,
1974,2.20852E+11,
1975,2.48383E+11,
1976,2.52541E+11,
1977,2.92017E+11,
1978,2.83185E+11,
1979,3.27462E+11,
